GO Term	Study #	Study Freq.	Pop. Freq.	p-value	q-value	name	gene products
GO:0004329	5	0.65%	0.02%	4.54E-8	1.86E-6	formate-tetrahydrofolate ligase activity	AAX52944.1,AAG22140.2,AFH06346.1,AAN13478.1,AAN13479.1
GO:0016829	33	4.3%	1.5%	5.75E-8	2.25E-6	lyase activity	AHN56230.1,AHN54282.1,AAF55311.2,AGB94756.1,AAF49794.2,AGB94799.1,AAN11824.2,ACZ94744.1,API61815.1,AAN13980.1,AAF56228.1,AAO41174.2,AAS65359.1,ACZ94599.1,AAF49811.2,ACZ94746.1,ACZ94745.1,AGB94707.1,AAN13709.1,AAS65077.1,AGB94016.1,AAN11675.2,AAF52721.3,AAF51576.1,AAF47622.3,AFH04414.1,AFH04413.1,AAN13979.1,AAF45736.1,AAF45737.1,AAF54328.2,AHN56229.1,AAF58191.1
GO:0008173	12	1.6%	0.24%	2.07E-7	7.44E-6	RNA methyltransferase activity	AAF56847.1,AAN11538.2,AAS64882.1,AAF58861.1,AAF47892.1,AAF50950.1,AAF45921.1,AAF54397.2,ABI31309.1,AAF45720.2,AAF53163.2,AAF57683.1
GO:0034511	5	0.65%	0.03%	2.65E-7	9.11E-6	U3 snoRNA binding	AAF52798.2,AAF46437.1,AGB92828.1,AAF49701.1,AGB94542.1
GO:0009975	13	1.7%	0.3%	4.2E-7	1.29E-5	cyclase activity	AGB94756.1,AGB94016.1,AHN59272.1,AAN11824.2,AAF45719.1,ACZ94744.1,AAF47622.3,AFH04414.1,ACZ94599.1,AFH04413.1,AAF49811.2,ACZ94746.1,ACZ94745.1
GO:0047298	4	0.52%	0.02%	1.34E-6	3.84E-5	(S)-3-amino-2-methylpropionate:2-oxoglutarate transaminase activity	AHN58150.1,ACZ94750.1,AAN11644.1,AAF49081.1
GO:0034386	4	0.52%	0.02%	1.34E-6	3.84E-5	4-aminobutyrate:2-oxoglutarate transaminase activity	AHN58150.1,ACZ94750.1,AAN11644.1,AAF49081.1
GO:0035299	4	0.52%	0.02%	1.34E-6	3.84E-5	inositol-1,3,4,5,6-pentakisphosphate 2-kinase activity	AAF46633.2,AHN56444.1,ABV53862.1,AGB93643.1
GO:0016407	16	2.1%	0.51%	1.83E-6	4.63E-5	acetyltransferase activity	AAF57173.1,AFH06677.1,AFH06678.1,AAN09364.1,AAN14182.1,ABI31145.1,ALI30535.1,AGB96459.1,AHN57194.1,AGB96461.1,AAF56924.1,AGB96460.1,AGB96526.1,AAF48514.1,AAF56929.1,AAF54128.2
GO:0004477	5	0.65%	0.04%	2.33E-6	5.28E-5	methenyltetrahydrofolate cyclohydrolase activity	AAX52944.1,AAG22140.2,AFH06346.1,AAN13478.1,AAN13479.1
GO:0016810	22	2.9%	0.91%	2.35E-6	5.28E-5	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds	AAF52011.1,AAF54458.1,AAX52944.1,AAG22140.2,AFH06346.1,AGB95411.1,AAF48443.2,AGB95822.1,AGB93000.1,AAF53452.1,AAF51322.1,AAN13245.2,AFH07395.1,AAN13478.1,AFH07394.1,AAN13479.1,ACZ95295.1,AAF52003.2,AAF52002.1,AAN09662.1,AAN09661.1,ABC67186.1
GO:0016645	10	1.3%	0.21%	4.03E-6	8.07E-5	oxidoreductase activity, acting on the CH-NH group of donors	AAX52944.1,AFH07986.1,AAG22140.2,AAF55626.1,AAF58708.1,AFH06346.1,AAN13478.1,AAN13479.1,AHN56106.1,AAF58873.1
GO:0003847	4	0.52%	0.02%	6.51E-6	1.22E-4	1-alkyl-2-acetylglycerophosphocholine esterase activity	AAF54458.1,AAN09364.1,AAF48514.1,AGB95822.1
GO:0004485	4	0.52%	0.02%	6.51E-6	1.22E-4	methylcrotonoyl-CoA carboxylase activity	AFH06709.1,AFH06708.1,AAN14292.1,AAF57199.2
GO:0016538	8	1.0%	0.16%	2.82E-5	4.85E-4	cyclin-dependent protein serine/threonine kinase regulator activity	AAN10908.1,AAN10907.1,AAF53477.1,AAF53478.1,AFH03711.1,AAF53479.1,AAF47776.1,AAS64959.1
GO:0002055	3	0.39%	0.01%	3.94E-5	6.4E-4	adenine binding	AHN57933.1,AHN57934.1,AAF47589.1
GO:0008442	3	0.39%	0.01%	3.94E-5	6.4E-4	3-hydroxyisobutyrate dehydrogenase activity	AAF57639.2,AAM68444.1,ADV37218.1
GO:0097657	3	0.39%	0.01%	3.94E-5	6.4E-4	3',5'-nucleotide bisphosphate phosphatase activity	AGB95353.1,AAF48246.1,AHN59667.1
GO:0032184	3	0.39%	0.01%	3.94E-5	6.4E-4	SUMO polymer binding	AAF45674.1,AHN59264.1,AAN09061.2
GO:0004609	3	0.39%	0.01%	3.94E-5	6.4E-4	phosphatidylserine decarboxylase activity	AAN13980.1,AAF56228.1,AAN13979.1
GO:0008753	3	0.39%	0.01%	3.94E-5	6.4E-4	NADPH dehydrogenase (quinone) activity	AAF51151.1,AGB92521.1,AAF51152.2
GO:0008260	3	0.39%	0.01%	3.94E-5	6.4E-4	succinyl-CoA:3-oxo-acid CoA-transferase activity	AAN11508.1,AGB93996.1,AAF47600.1
GO:0003999	3	0.39%	0.01%	3.94E-5	6.4E-4	adenine phosphoribosyltransferase activity	AHN57933.1,AHN57934.1,AAF47589.1
GO:0000810	3	0.39%	0.01%	3.94E-5	6.4E-4	diacylglycerol diphosphate phosphatase activity	AAO41498.1,AAF52008.3,AAN13243.3
GO:0003955	3	0.39%	0.01%	3.94E-5	6.4E-4	NAD(P)H dehydrogenase (quinone) activity	AAF51151.1,AGB92521.1,AAF51152.2
GO:0160197	3	0.39%	0.01%	3.94E-5	6.4E-4	dolichal reductase (NADPH) activity	AHN56425.1,AAF57482.1,AAF57481.1
GO:0160196	3	0.39%	0.01%	3.94E-5	6.4E-4	polyprenol dehydrogenase (NAD+) activity	AHN56425.1,AAF57482.1,AAF57481.1
GO:0031681	6	0.78%	0.09%	3.95E-5	6.4E-4	G-protein beta-subunit binding	AAS64631.1,AAN10493.1,AGB92355.1,AAS64633.1,AAS64632.2,AAF51507.1
GO:0140132	4	0.52%	0.04%	8.39E-5	9.9E-4	iron-sulfur cluster chaperone activity	EAL24590.1,EAA46161.1,EAL24589.1,EAL24588.1
GO:0005521	6	0.78%	0.12%	3.04E-4	3.16E-3	lamin binding	AAS64631.1,AAN10493.1,AGB92355.1,AAS64633.1,AAS64632.2,AAF51507.1
GO:0016741	18	2.3%	0.94%	3.45E-4	3.54E-3	transferase activity, transferring one-carbon groups	AAF57914.1,AGB93571.1,AAF56847.1,AAN11538.2,AAS64882.1,AGB92670.1,AAF52386.1,AAF58861.1,AAF47892.1,AAF50950.1,AAF45921.1,AAF57138.2,AAF54397.2,ABI31309.1,AAF45720.2,AAF53163.2,AAF57683.1,AAF51158.2
GO:1990757	4	0.52%	0.05%	3.65E-4	3.65E-3	ubiquitin ligase activator activity	AGB95616.1,AGB95615.1,AAF50946.2,AAF50943.2
GO:0016788	54	7.0%	4.4%	4.74E-4	4.34E-3	hydrolase activity, acting on ester bonds	AAF53139.1,AAN13404.1,AHN57285.1,AGB92892.1,AAF53263.1,AFH08244.1,AAN10808.2,ABV53667.1,AAF51500.1,AAF47771.1,AAF48514.1,AHN56027.1,AAF54319.2,AAF45743.1,ADV37141.1,AAS64631.1,AHN54060.1,AAN09364.1,AAF48418.1,AAS64633.1,AAF47189.1,AAO41498.1,AHN56628.1,AAF53046.1,AAF46270.1,AAF46189.2,AAN13405.1,AAF54458.1,AAM68811.2,AGB92972.1,AAF58980.1,AAF48246.1,AAF50805.1,AGB95822.1,AGB95353.1,AAF52008.3,AAF51507.1,AHN56028.1,AAN10809.2,AAF52011.1,AAF47180.1,AAF56875.1,AGB92355.1,AAM68308.1,AAF52978.1,AAS64632.2,AHN54061.1,AHN59667.1,AFH07281.1,AAN13243.3,AAN10493.1,AAF54636.2,AAF58076.3,AAF51517.1
GO:0046922	3	0.39%	0.03%	7.3E-4	6.28E-3	peptide-O-fucosyltransferase activity	AAF52773.4,AHN54294.1,AHN54293.1
GO:0120242	2	0.26%	0.01%	1.16E-3	9.6E-3	2-iminobutanoate deaminase activity	AGB93000.1,AAF53452.1
GO:0004741	2	0.26%	0.01%	1.16E-3	9.6E-3	[pyruvate dehydrogenase (acetyl-transferring)]-phosphatase activity	AFH07281.1,AAF46270.1
GO:0051499	2	0.26%	0.01%	1.16E-3	9.6E-3	D-aminoacyl-tRNA deacylase activity	AAF54636.2,AHN57285.1
GO:0030586	2	0.26%	0.01%	1.16E-3	9.6E-3	[methionine synthase] reductase (NADPH) activity	AGB96017.1,AAF55315.1
GO:0120519	2	0.26%	0.01%	1.16E-3	9.6E-3	tubulin N-terminal-methionine acetyltransferase activity	AAF57173.1,AGB96526.1
GO:0008111	2	0.26%	0.01%	1.16E-3	9.6E-3	alpha-methylacyl-CoA racemase activity	AAF53919.1,AGB93173.1
GO:0005164	2	0.26%	0.01%	1.16E-3	9.6E-3	tumor necrosis factor receptor binding	AAF45505.1,ABW09319.1
GO:0005175	2	0.26%	0.01%	1.16E-3	9.6E-3	CD27 receptor binding	AAF45505.1,ABW09319.1
GO:0019171	2	0.26%	0.01%	1.16E-3	9.6E-3	(3R)-hydroxyacyl-[acyl-carrier-protein] dehydratase activity	AAN13709.1,AAF55311.2
GO:0140496	2	0.26%	0.01%	1.16E-3	9.6E-3	gamma-tubulin complex binding	AHN56344.1,AAF57799.1
GO:0070042	2	0.26%	0.01%	1.16E-3	9.6E-3	rRNA (uridine-N3-)-methyltransferase activity	AAS64882.1,AAF58861.1
GO:0034038	2	0.26%	0.01%	1.16E-3	9.6E-3	deoxyhypusine synthase activity	AAF50467.2,AGB94264.1
GO:0106026	2	0.26%	0.01%	1.16E-3	9.6E-3	Gly-tRNA(Ala) deacylase activity	AAF54636.2,AHN57285.1
GO:0052901	2	0.26%	0.01%	1.16E-3	9.6E-3	spermine oxidase activity	AAF58708.1,AHN56106.1
GO:0035516	2	0.26%	0.01%	1.16E-3	9.6E-3	broad specificity oxidative DNA demethylase activity	API61815.1,AAS65359.1
GO:0140757	2	0.26%	0.01%	1.16E-3	9.6E-3	cysteine-type deNEDDylase activity	AAF58530.1,ACZ94401.1
GO:0004174	2	0.26%	0.01%	1.16E-3	9.6E-3	electron-transferring-flavoprotein dehydrogenase activity	AFH07986.1,AAF58873.1
GO:0102559	2	0.26%	0.01%	1.16E-3	9.6E-3	peptide chain release factor N(5)-glutamine methyltransferase activity	AGB92670.1,AAF52386.1
GO:0080048	2	0.26%	0.01%	1.16E-3	9.6E-3	GDP-D-glucose phosphorylase activity	AAF50263.1,ACL83281.1
GO:0030622	2	0.26%	0.01%	1.16E-3	9.6E-3	U4atac snRNA binding	AAF52798.2,AGB92828.1
GO:0004351	3	0.39%	0.03%	1.24E-3	9.6E-3	glutamate decarboxylase activity	AAF51576.1,AAS65077.1,AGB94799.1
GO:0046920	3	0.39%	0.03%	1.24E-3	9.6E-3	alpha-(1->3)-fucosyltransferase activity	AAF52773.4,AHN54294.1,AHN54293.1
GO:0003689	3	0.39%	0.03%	1.24E-3	9.6E-3	DNA clamp loader activity	AAF53076.2,AAF52944.2,AHN54347.1
GO:0016886	3	0.39%	0.03%	1.24E-3	9.6E-3	ligase activity, forming phosphoric ester bonds	AAF45719.1,AAF47090.3,AHN59272.1
GO:0050833	4	0.52%	0.07%	1.35E-3	9.6E-3	pyruvate transmembrane transporter activity	AAN13434.1,AGB95807.1,AAF54407.1,ACZ94868.1
GO:0033204	4	0.52%	0.07%	1.35E-3	9.6E-3	ribonuclease P RNA binding	ALI51137.1,AAF51526.1,AGB92345.1,AAO41631.1
